Text,Sentiment
AMZN holding above the 50dma in a diamond pattern. ooks good for higher prices...imo,1
PreMarket Most Advanced: QIK GTAT IEP MEKO WTSA QGEN TIBX ATM ZNGA JB,1
AAP and GOOG should respond positively to good jobless claims numbers,1
MOS doing great for me last few days.. is it time to sell?,1
ZIOP nice close - TEK eod heat up this stock is next to soar,1
"GOOG almost 2x AAP now, gonna hit it tomorrow, prob 824/412. please check your facts AAP is 2.85x more than GOOG +10X vol",1
ETFC - The bigger the base...?,1
"RT : U.S. startups raised $34.2B in Q1, up 10% over Q4, per Pitchbook. But the situation changed. There will be a marked drop-ofâ€¦",-1
FAF looks good. Pivot range 24.87 to 26.11 Volume +76% today. See if close and/or get over days highs at 25.60.,1
"ENOC here comes the next push, getting close to my final destination 1760 or so",1
The Smith&Corona doing ok. AMZN,1
INVN keep close eye on this one for surge up from short bagholders - may take 2 days first red bar finish is top big short score to be made,-1
EXC seems that the road to the South is clear... More picks at,-1
Momentum is coming back to ETFC Broke MA200 resistance on solid volume Friday. ong set-up,1
AAP after yesterdays prediction of 200/share I was thinking maybe a split or finally they will double the dividend?,1
ONXX strong price & vol expansion friday. possibly looking for higher prices > another biotech with 2 levels,1
"BT Cortos en Peabody Energy si cae bajo 25,40. Stop loss 25,76.",-1
the ticker has actually stopped on AAP,1
Why would anyone buy AX's overpriced services when there are many more high-quality alternatives that essentially cost half the price?,-1
APP Eric Beder at Brean Capital launches on APP: An nsinkable Brand: Initiating Coverage of APP with a Buy ating & 2 PT,1
JCP Cash-flow distress That doesn't sound very good... BS downgrade to sell,-1
NVDA love to see momo this next week like previous histogram bars noted.,-1
CO had this on the list for break of 7.00 and risk was too much so no buy man I missed a good one - low volume deterrent caused the miss,1
COST looking to go higher.,1
"COST is another nice one but I'm staying away for now since that special divvy, small pos in T account",1
AAP cool comparisson between Galaxy S4 and Note 2 whatever the rules BTW Here is hoping for more action today !,1
short OC starting to work towards 38,-1
VS Swing Trade Quick Pick: as Vegas Sands (VS) |,-1
"AAP , want to buy more around 350",-1
"NFX shorts destroyed, now if AAP beats nicely the market is gonna have an orgasm",1
"IMM I love to short, They are just revealing a phone (that everyone has seen it does not make you younger) think ip5 aapl",-1
Watch CAT under 87. Could flush all the way down to 86.40.,-1
AX ptrend was exhausted and started to form a downward channel. Downward divergence in MACD. Strong support at 60.04. Great SHOT!,-1
"we should see again 1.35, and after that my exit 1.43 CSN",1
COMPQ SPX IND AIG KFT AEP Futures traded in red with an eye on the G-20,-1
