snr,seed,lambda,test_rmse,rel_error,runtime
5,0,0.6787359512900819,0.036191950603539656,0.34397751465017307,0.3282349109649658
5,1,0.6714882104704394,0.03840943383359504,0.35205380790689744,0.3394029140472412
5,2,0.6655851423454258,0.035813197523857546,0.3469373640667534,0.3485267162322998
10,0,0.32791633462458986,0.022973396086683556,0.21510925554025423,0.45631837844848633
10,1,0.32177433888144646,0.024685472856277417,0.2223741344043196,0.4824860095977783
10,2,0.31889849493395256,0.022977411364787845,0.2185854406436339,0.5031788349151611
20,0,0.07688597855185487,0.008532191495408776,0.07896136305168096,1.0316500663757324
20,1,0.07496813422970512,0.009263045705206013,0.08197243898055628,1.1358091831207275
20,2,0.10682714742833563,0.008583217473461194,0.07909559376320158,0.8095808029174805
30,0,0.02588397350357846,0.002886321961050783,0.026335344991553336,2.1821372509002686
30,1,0.025192486554998304,0.003171727863106069,0.02744417381361477,2.5032076835632324
30,2,0.03589114300758896,0.002948126091424817,0.026739223610947462,1.7007343769073486
1000,0,0.012522691637381948,0.0006462681806235265,0.005920998521286104,4.236873388290405
1000,1,0.017517893668708685,0.0009618043472299261,0.008414096187858391,3.688523292541504
1000,2,0.017348332288590545,0.0009061644972484551,0.008349029655884752,3.643378496170044
