obs_frac,seed,lambda,test_rmse,rel_error,runtime
0.2,0,0.0034450951201076417,0.001507338185914774,0.27352040019914775,12.787697553634644
0.2,1,0.0038671784323018256,0.0014276061832113136,0.27093260074236303,11.372979164123535
0.2,2,0.0035654627850149143,0.0015406044387547726,0.2991241757458437,11.617153406143188
0.3,0,0.003522403837116216,0.0008186005328358421,0.14198864596790678,6.19092583656311
0.3,1,0.0034138183879739875,0.0007938930328394444,0.1409167315726787,6.399871349334717
0.3,2,0.003440150921182711,0.000836414988766088,0.14538217249221638,7.300629615783691
0.4,0,0.003179290586169083,0.000573130210255996,0.09950631194128717,4.947276592254639
0.4,1,0.0044714536684968935,0.0005681446703560991,0.09783560703764821,3.151512622833252
0.4,2,0.004423637744652377,0.0005179562689557302,0.09711566082849428,3.456800937652588
0.6,0,0.004600887941035981,0.0003927043075882465,0.06962539529273067,1.6962718963623047
0.6,1,0.004681216052529604,0.00039490402038860976,0.06936003331544452,1.7085349559783936
0.6,2,0.00457775689544089,0.0003791155383009741,0.06872882261428422,1.749464988708496
0.8,0,0.006001654362703594,0.00031033527425947783,0.05620724757689702,0.9133527278900146
0.8,1,0.006106656898606256,0.0003116604321327806,0.05548624063278733,0.8462319374084473
0.8,2,0.006069295275863726,0.0003089200081892854,0.055858277613753365,0.9769749641418457
